frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,0.5,,,,,,,,14.490455000213842,0.0,14.501251000183402
2,0,0,,0.5,,,,,,,,2.699089000088861,0.0,2.7109550001114258
3,0,0,,0.5,,,,,,,,5.0138850001530955,0.0,5.024629999752506
4,0,0,,0.5,,,,,,,,55.911151000145765,0.0,55.92120300025272
5,0,0,,0.5,,,,,,,,4.28521499998169,0.0,4.296559000067646
6,0,0,,0.5,,,,,,,,2.702511000279628,0.0,2.710481000121945
7,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,4.167296000105125,0.4897100002381194,5.366141000195057
8,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,6.452856999658252,0.40899299983720994,8.136194000144314
9,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.3918839997350005,0.36398600013853866,3.3937210000658524
10,1,1,0,0.5,-0.01627390847488063,0.01023258433771426,0.49791111282232803,0.4982820708707532,0.002088887177671972,0.0017179291292467869,0.051336869597435,2.5745929997356143,0.20901600009892718,3.349785999944288
11,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,3.092318999733834,0.3740890001608932,4.402215000027354
12,1,1,0,0.5,-0.01637230557995682,0.009944325750111978,0.4993017427326697,0.49966906278106604,0.0006982572673303045,0.00033093721893395767,0.4539759159088135,2.619466999931319,0.7414490000883234,4.097430000001623
13,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.645864999976766,0.23074599994288292,3.303064999727212
14,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,3.231775000131165,0.6046059997970588,4.49139100010143
15,1,1,0,0.5,-0.01637230557995682,0.009944325750111978,0.4993017427326697,0.49966906278106604,0.0006982572673303045,0.00033093721893395767,0.4539759159088135,3.7678779999623657,0.4069669998898462,4.783746000157407
16,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,3.1246769999597745,0.3978360000473913,4.1741939999155875
17,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.6418429997647763,0.34988400011570775,3.564457999800652
18,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,3.223699000045599,0.4735620000246854,4.207164999570523
19,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,5.391955000050075,0.23422999993272242,6.082473999867943
20,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,3.755126000214659,0.41405699994356837,4.866677999871172
21,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,4.3204290000176115,0.4600269999173179,5.761896999956662
22,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.59022999989611,0.350852000337909,3.510671000185539
23,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.296531999945728,0.3499490003378014,3.439972000251146
24,1,1,0,0.5,-0.016058591268700552,0.01010856956871232,0.4979159383356163,0.4982773757465795,0.002084061664383685,0.0017226242534205127,0.36731740832328796,2.6788700001816323,0.3282009997747082,3.5948580002695962
25,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,5.090156000278512,0.5312400003276707,6.134044999726029
26,1,1,0,0.5,-0.01637230557995682,0.009944325750111978,0.4993017427326697,0.49966906278106604,0.0006982572673303045,0.00033093721893395767,0.4539759159088135,5.202923000069859,0.2647159999469295,5.904238000312034
27,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,3.5636929997053812,0.35396500015849597,4.754661999868404
28,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.6955109997288673,0.422435000018595,4.037750999941636
29,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.762755000276229,0.26453500004208763,3.522289000102319
30,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.1510430001399072,0.4306710002310865,3.1703680001555767
31,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.1820840001964825,0.3497689999676368,3.1456530000468774
32,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.56842399994639,0.5188400000406546,3.5412570000517007
33,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,3.3607860000302026,0.39917599997352227,4.577330999836704
34,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.207370999713021,0.2799190001496754,2.9262289999678615
35,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.589300000181538,0.6292429998211446,3.97674099986034
36,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.359061000333895,0.44912700013810536,3.9628750000701984
37,1,1,0,0.5,-0.016469446018371917,0.01009881906994171,0.4978525181971288,0.49822721591055413,0.0021474818028712206,0.0017727840894458669,0.4040527939796448,2.1879379996789794,0.2346720002606162,2.9330400002436363
