frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,1.0,,,,,,,,5.480101000102877,0.0,5.494486000316101
2,0,0,,1.0,,,,,,,,4.144352999901457,0.0,4.162543000347796
3,0,0,,1.0,,,,,,,,1.2046940000800532,0.0,1.217187999827729
4,0,0,,1.0,,,,,,,,1.2899660005132318,0.0,1.3022920002185856
5,0,0,,1.0,,,,,,,,1.5365160006695078,0.0,1.5498480006499449
6,0,0,,1.0,,,,,,,,1.188323999485874,0.0,1.201969000248937
7,0,0,,1.0,,,,,,,,24.241469000116922,0.0,24.255190000076254
8,0,0,,1.0,,,,,,,,3.3441429995946237,0.0,3.3579790006115218
9,0,0,,1.0,,,,,,,,1.5797080004631425,0.0,1.6080489995147218
10,0,0,,1.0,,,,,,,,1.1159549994772533,0.0,1.130306000050041
11,0,0,,1.0,,,,,,,,1.7293099999733386,0.0,1.742292000017187
12,1,1,0,1.0,-0.0020932457346706963,0.024395375634004908,0.9892845423673242,0.9895875008289848,0.010715457632675784,0.010412499171015166,0.15751443803310394,13.061133000519476,35.98047499963286,52.25704499935091
13,1,1,0,1.0,-0.0020912402235995354,0.024418665013623424,0.9886709446578802,0.9889746616053545,0.01132905534211981,0.011025338394645479,0.1665765643119812,4.797115000656049,45.26940999949147,51.6232290001426
14,1,1,0,1.0,-0.002096870367749762,0.02442886844339217,0.988879344158014,0.9891832609689408,0.01112065584198596,0.010816739031059175,0.12139204144477844,3.7724960002378793,35.11299100046017,53.070891999595915
15,1,1,0,1.0,-0.0021417673758475707,0.024440981613149167,0.988868280952401,0.9891725965793144,0.01113171904759902,0.010827403420685555,0.13718941807746887,2.329134999854432,58.2159989999127,61.54660700030945
16,1,1,0,1.0,-0.0020972677904254502,0.024389129707638475,0.9890328895303923,0.9893357795778528,0.010967110469607744,0.010664220422147208,0.14986616373062134,2.149524000742531,45.930399999633664,49.75309200017364
17,1,1,0,1.0,-0.002092850908607239,0.02442524274667744,0.9890302831636197,0.9893340555762091,0.010969716836380261,0.010665944423790874,0.16286729276180267,3.208240999811096,67.20860000041284,72.09105200035992
18,1,1,0,1.0,-0.0020972988432700662,0.024408309417435443,0.9885351613188079,0.9888386771332606,0.01146483868119208,0.011161322866739432,0.16650830209255219,2.137567999852763,27.629774999695655,40.676245000213385
19,1,1,0,1.0,-0.002095456340823026,0.024434167827912676,0.9888899888662621,0.9891940302967032,0.011110011133737885,0.010805969703296836,0.14901399612426758,1.6976979995888541,29.24083400012023,32.201248000092164
20,1,1,0,1.0,-0.002095480036005906,0.02443921825924167,0.9884294317830413,0.9887337397098624,0.011570568216958677,0.011266260290137553,0.1454443335533142,2.265088000058313,36.69996100052231,40.445580000778136
21,1,1,0,1.0,-0.002114061400941159,0.024422280641628744,0.9887573009150064,0.9890611291321048,0.011242699084993646,0.010938870867895245,0.1503855288028717,1.7536549994474626,32.980006999423495,36.894447000122454
22,1,1,0,1.0,-0.0021045970494773013,0.024434609208314948,0.9889909387060836,0.9892949794164752,0.011009061293916433,0.010705020583524849,0.15583106875419617,1.4912850001564948,43.18984299970907,46.21670600045036
23,1,1,0,1.0,-0.002113697259722536,0.024426758967786576,0.9889466701443154,0.9892505499919145,0.011053329855684635,0.01074945000808547,0.14207333326339722,1.7514410001240321,32.79446199940139,37.49656799936929
24,1,1,0,1.0,-0.0020737719528418283,0.024417986119196527,0.9887559934353223,0.9890596307253171,0.011244006564677722,0.010940369274682893,0.15191417932510376,1.2368229999992764,36.630423000133305,39.53870300028939
25,1,1,0,1.0,-0.002099348108941931,0.024401555298301084,0.988523030625012,0.9888263878151295,0.011476969374987989,0.011173612184870452,0.13901224732398987,2.255805999993754,32.99741399951017,37.07668600054603
