frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,0.5,,,,,,,,8.654582999952254,0.0,8.668358999784687
2,0,0,,0.5,,,,,,,,1.5095339999788848,0.0,1.5192519999800425
3,0,0,,0.5,,,,,,,,2.282696000293072,0.0,2.2892309998496785
4,0,0,,0.5,,,,,,,,1.6468870003336633,0.0,1.6538969998691755
5,0,0,,0.5,,,,,,,,4.7116949999690405,0.0,4.72126600016054
6,0,0,,0.5,,,,,,,,1.4207130002432677,0.0,1.429201000064495
7,0,0,,0.5,,,,,,,,1.357330000246293,0.0,1.3652309999088175
8,0,0,,0.5,,,,,,,,18.730648999735422,0.0,18.739175999598956
9,0,0,,0.5,,,,,,,,2.3185380000541045,0.0,2.3299539998333785
10,0,0,,0.5,,,,,,,,1.932257000134996,0.0,1.9446840001364762
11,0,0,,0.5,,,,,,,,2.0664979997491173,0.0,2.075125999908778
12,0,0,,0.5,,,,,,,,1.358021999749326,0.0,1.3655630000357633
13,0,0,,0.5,,,,,,,,1.3331200002539845,0.0,1.3410399997155764
14,0,0,,0.5,,,,,,,,1.5986409998731688,0.0,1.6073860001597495
15,0,0,,0.5,,,,,,,,2.9204839997873933,0.0,2.927877000274748
16,0,0,,0.5,,,,,,,,4.333894999945187,0.0,4.342839999935677
17,0,0,,0.5,,,,,,,,2.798406000238174,0.0,2.8096619998905226
18,1,1,0,0.5,-0.04460080241198546,-0.0012912287194220794,0.49702016814204186,0.4990189839949402,0.0029798318579581373,0.0009810160050597871,0.3073869049549103,5.219227999987197,8.507084000029863,15.328598999985843
19,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,17.496428999947966,19.311861000005592,38.94431600019743
20,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,4.5266740003171435,24.925407999944582,37.36703200002012
21,1,1,0,0.5,-0.04460080241198546,-0.0012912287194220794,0.49702016814204186,0.4990189839949402,0.0029798318579581373,0.0009810160050597871,0.3073869049549103,8.993045999886817,15.68597100003899,25.8056959996793
22,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,4.2934629996125295,9.664191999945615,15.266104000147607
23,1,1,0,0.5,-0.04460080241198546,-0.0012912287194220794,0.49702016814204186,0.4990189839949402,0.0029798318579581373,0.0009810160050597871,0.3073869049549103,37.056524999570684,12.17878399984329,50.23526900004072
24,1,1,0,0.5,-0.04460080241198546,-0.0012912287194220794,0.49702016814204186,0.4990189839949402,0.0029798318579581373,0.0009810160050597871,0.3073869049549103,12.509647000115365,17.486072000338027,31.069303000094806
25,1,1,0,0.5,-0.04460080241198546,-0.0012912287194220794,0.49702016814204186,0.4990189839949402,0.0029798318579581373,0.0009810160050597871,0.3073869049549103,6.570062000264443,10.00206500020795,38.394698000047356
26,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,4.007623999768839,42.290816999866365,47.56814600023063
27,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,3.743249000308424,29.351907999625837,34.98317699995823
28,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,6.598645999929431,24.709618000088085,36.99840799981757
29,1,1,0,0.5,-0.04460080241198546,-0.0012912287194220794,0.49702016814204186,0.4990189839949402,0.0029798318579581373,0.0009810160050597871,0.3073869049549103,42.80945199980124,31.65156500017474,75.75887699977102
30,1,1,0,0.5,-0.04460080241198546,-0.0012912287194220794,0.49702016814204186,0.4990189839949402,0.0029798318579581373,0.0009810160050597871,0.3073869049549103,7.379964999927324,24.083909999717434,43.99038100018515
31,1,1,0,0.5,-0.04450879836440612,-0.001057135919123318,0.4954294174623099,0.4974258320144206,0.004570582537690104,0.002574167985579412,0.19999447464942932,66.95978799962177,14.790849999826605,83.24926299974322
32,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,5.1027109998358355,8.73281699978179,14.755308000076184
33,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,30.992813000011665,9.096226999645296,41.047916000025
34,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,5.3005529998699785,7.9405579999729525,15.590090999921813
35,1,1,0,0.5,-0.04460080241198546,-0.0012912287194220794,0.49702016814204186,0.4990189839949402,0.0029798318579581373,0.0009810160050597871,0.3073869049549103,7.318021000173758,31.682792000083282,42.01318600007653
36,1,1,0,0.5,-0.04477807971004584,-0.001240489978665993,0.4954346743383399,0.4974556580989338,0.0045653256616601245,0.002544341901066227,0.750527560710907,4.473214999961783,13.32710800033965,18.85060600034194
37,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,13.721418999921298,19.056623999858857,34.19086199983212
38,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,8.943334999912622,17.137140999693656,28.522336000150972
39,1,1,0,0.5,-0.04477684033330848,-0.0014675210905666335,0.49707816392001475,0.49909299744083657,0.0029218360799852516,0.0009070025591634279,0.741473913192749,14.027240999894275,36.029447999681,51.875401999950554
40,1,1,0,0.5,-0.044688984332731704,-0.0011926584973610016,0.495381512725141,0.4973945827055533,0.004618487274858973,0.002605417294446688,0.5719219446182251,10.25588999982574,11.826853999991727,23.027156999887666
41,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,4.880771999978606,8.972308000011253,15.375753999705921
42,1,1,0,0.5,-0.04477807971004584,-0.001240489978665993,0.4954346743383399,0.4974556580989338,0.0045653256616601245,0.002544341901066227,0.750527560710907,19.493001999762782,32.728934999795456,54.83238799979517
43,1,1,0,0.5,-0.044668682906602496,-0.0014207609565338568,0.4968110414149945,0.4988171214645279,0.003188958585005508,0.0011828785354721094,0.5368967652320862,10.71012200009136,41.578351000225666,53.26727400006348
44,1,1,0,0.5,-0.04477684033330848,-0.0014675210905666335,0.49707816392001475,0.49909299744083657,0.0029218360799852516,0.0009070025591634279,0.741473913192749,7.183582000379829,19.042972000079317,27.51452500024243
45,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,5.6817629997567565,8.455999000034353,16.02728699981526
46,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,9.64856000018699,7.753206999950635,19.450391000191303
47,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,6.820175000029849,7.775902000048518,17.550300000038987
48,1,1,0,0.5,-0.04477807971004584,-0.001240489978665993,0.4954346743383399,0.4974556580989338,0.0045653256616601245,0.002544341901066227,0.750527560710907,21.216628000274795,22.07946799990168,45.0543789997937
49,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,14.475395000317803,21.17430099997364,37.73244200010595
50,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,8.280083000045124,21.167795999645023,30.73407900001257
51,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,7.587014999899111,8.509111999956076,17.165731000204687
52,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,6.809467000039149,7.741394000277069,17.528503999983513
53,1,1,0,0.5,-0.04460080241198546,-0.0012912287194220794,0.49702016814204186,0.4990189839949402,0.0029798318579581373,0.0009810160050597871,0.3073869049549103,8.347564000359853,9.148504999757279,19.55596700008755
54,1,1,0,0.5,-0.04462605279493763,-0.001119258979572208,0.4955469782164655,0.497553559878924,0.0044530217835345165,0.0024464401210759767,0.33235669136047363,5.180827000003774,24.5456140000897,34.203835999960575
