frame,detected,pose_success,marker_id,status,real_distance_m,real_cctag_diameter_m,center_x_px,center_y_px,ellipse_a_px,ellipse_b_px,ellipse_angle_rad,apparent_diameter_px,estimated_x_m,estimated_y_m,estimated_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,candidate_count,total_time_ms
0,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,40.0
1,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,30.0
2,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,50.0
3,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,30.0
4,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,20.0
5,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,40.0
6,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,30.0
7,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,40.0
8,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,20.0
9,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,20.0
10,0,0,,,1.0,0.096,,,,,,,,,,,,,,0,130.0
11,1,1,0,1,1.0,0.096,281.381,239.321,45.4876,45.5873,2.10922,91.0749,-0.03977283663381253,0.022709433778912623,0.9863137017765043,0.9873764809982715,0.013686298223495652,0.012623519001728534,,1,120.0
12,1,1,0,1,1.0,0.096,281.538,239.419,45.5251,45.571,1.43345,91.0961,-0.039598128999384266,0.022806887536642326,0.9860841656001185,0.9871424150479214,0.013915834399881533,0.01285758495207856,,1,270.0
13,1,1,0,1,1.0,0.096,281.354,239.296,45.4661,45.6116,1.93231,91.0777,-0.039800073114942644,0.022682521469700914,0.9862833795531174,0.9873466703153948,0.0137166204468826,0.012653329684605197,,1,210.0
14,1,1,0,1,1.0,0.096,281.541,239.473,45.5022,45.5697,2.06184,91.0719,-0.03960548884058431,0.02286957405430831,0.9863461919420256,0.987405905654945,0.013653808057974448,0.012594094345054985,,1,150.0
15,1,1,0,1,1.0,0.096,281.523,239.383,45.5229,45.5686,1.87042,91.0914,-0.03961598042340779,0.022770321589087053,0.986135044119697,0.9871931111444888,0.01386495588030301,0.012806888855511178,,1,200.0
16,1,1,0,1,1.0,0.096,281.582,239.347,45.5224,45.589,1.88547,91.1114,-0.039545118603608445,0.022727588822843304,0.9859185761378374,0.986973048503724,0.014081423862162601,0.013026951496275974,,1,140.0
17,1,1,0,1,1.0,0.096,281.533,239.344,45.5289,45.5744,1.64714,91.1033,-0.03960026825747046,0.022726464719679644,0.9860062342190125,0.9870627980850442,0.013993765780987544,0.012937201914955843,,1,120.0
18,1,1,0,1,1.0,0.096,281.559,239.357,45.5243,45.5787,1.80852,91.103,-0.03957300109920428,0.022740167131682254,0.9860094811139585,0.9870652635280973,0.013990518886041525,0.012934736471902686,,1,120.0
19,1,1,0,1,1.0,0.096,281.619,239.317,45.5084,45.5834,1.36966,91.0918,-0.03951463379953856,0.022701026947556997,0.9861307138285219,0.9871831277249098,0.01386928617147809,0.012816872275090208,,1,260.0
20,1,1,0,1,1.0,0.096,281.55,239.447,45.5007,45.5676,1.66806,91.0682,-0.03959761057252486,0.022843237656108777,0.9863862660942563,0.9874450112330487,0.013613733905743719,0.01255498876695127,,1,130.0
21,1,1,0,1,1.0,0.096,281.225,239.13,45.516,45.5824,1.44175,91.0984,-0.039926970387414135,0.022503344964586065,0.9860592695143379,0.9871238253097037,0.013940730485662134,0.012876174690296338,,1,150.0
22,1,1,0,1,1.0,0.096,281.414,239.266,45.5037,45.5817,1.77696,91.0854,-0.039733471216471694,0.022649149653938463,0.9862000030512569,0.9872599347351515,0.01379999694874312,0.012740065264848499,,1,170.0
23,1,1,0,1,1.0,0.096,281.434,239.258,45.4871,45.577,1.94173,91.0641,-0.0397216808724932,0.022646057534743254,0.9864306763908605,0.9874898152275463,0.013569323609139539,0.012510184772453692,,1,200.0
24,1,1,0,1,1.0,0.096,281.289,239.185,45.5238,45.5994,1.99974,91.1232,-0.039848678702468866,0.022554862817636894,0.9857909045986638,0.9868537615171292,0.014209095401336191,0.013146238482870776,,1,210.0
25,1,1,0,1,1.0,0.096,281.368,239.314,45.4794,45.5556,1.76757,91.035,-0.039803977801294126,0.022712043758161785,0.986745996132531,0.9878096246059053,0.013254003867469,0.012190375394094732,,1,110.0
26,1,1,0,1,1.0,0.096,281.438,239.124,45.5032,45.6051,1.98838,91.1084,-0.03969815208192451,0.022494585734876484,0.9859510402764724,0.987006283408754,0.014048959723527599,0.01299371659124604,,1,120.0
27,1,1,0,1,1.0,0.096,281.29,239.154,45.5286,45.5569,2.0293,91.0854,-0.03986416175524077,0.02253172017402957,0.9862000030512569,0.9872625161651524,0.01379999694874312,0.01273748383484763,,1,160.0
28,1,1,0,1,1.0,0.096,281.56,239.412,45.5095,45.5637,1.38319,91.0732,-0.03958489565690906,0.022805281913668252,0.9863321126074954,0.987389528609705,0.013667887392504574,0.01261047139029503,,1,260.0
29,1,1,0,1,1.0,0.096,281.385,239.308,45.4785,45.5554,1.80294,91.0339,-0.0397865313816151,0.022706023773229878,0.9867579193896444,0.9878206937866562,0.013242080610355589,0.012179306213343843,,1,240.0
30,1,1,0,1,1.0,0.096,281.559,239.344,45.5128,45.5623,1.99261,91.0751,-0.039585123915766296,0.022733501618953926,0.9863115358415742,0.9873673277283639,0.01368846415842584,0.012632672271636114,,1,120.0
31,1,1,0,1,1.0,0.096,281.328,239.163,45.5012,45.5355,2.03316,91.0367,-0.0398454153010908,0.022553214842708422,0.9867275698473797,0.9877892496464888,0.013272430152620251,0.012210750353511157,,1,210.0
32,1,1,0,1,1.0,0.096,281.534,239.427,45.4706,45.5802,2.03,91.0508,-0.039622047462963654,0.022826625528451768,0.9865747665910125,0.9876339056311728,0.013425233408987491,0.012366094368827185,,1,120.0
33,1,1,0,1,1.0,0.096,281.351,239.239,45.4849,45.5523,2.11462,91.0372,-0.03982094263818318,0.02263281745367749,0.9867221504827143,0.9877846699315176,0.013277849517285722,0.01221533006848241,,1,120.0
34,1,1,0,1,1.0,0.096,281.412,239.246,45.4554,45.6075,1.68576,91.0629,-0.03974539707324072,0.022633771119091966,0.9864436752829633,0.9875034727479906,0.013556324717036716,0.012496527252009448,,1,200.0
35,1,1,0,1,1.0,0.096,281.558,239.407,45.5144,45.5626,2.06475,91.077,-0.03958535216509998,0.022799087539311463,0.9862909599341761,0.9873482952568151,0.013709040065823852,0.012651704743184888,,1,190.0
36,1,1,0,1,1.0,0.096,281.529,239.427,45.4855,45.5536,1.88583,91.0392,-0.039632368464802094,0.02282953404320289,0.9867004736193306,0.9877599591476518,0.013299526380669446,0.0122400408523482,,1,130.0
37,1,1,0,1,1.0,0.096,281.571,239.356,45.4875,45.5467,1.60323,91.0342,-0.03959025420271511,0.02275630417145692,0.9867546675636735,0.9878107164665076,0.013245332436326529,0.012189283533492357,,1,150.0
38,1,1,0,1,1.0,0.096,281.378,239.177,45.5028,45.5834,2.1699,91.0863,-0.03977102065997643,0.022555612288180045,0.986190258665957,0.9872495712927194,0.013809741334043002,0.012750428707280603,,1,140.0
39,1,1,0,1,1.0,0.096,281.508,239.457,45.4609,45.5717,1.82011,91.0325,-0.03965743134749471,0.022862686902349036,0.9867730948609008,0.9878342750962008,0.013226905139099188,0.012165724903799191,,1,280.0
40,1,1,0,1,1.0,0.096,281.276,239.188,45.4543,45.5633,1.66856,91.0177,-0.03990857953058371,0.02258415427418296,0.9869335498251983,0.9879982644291417,0.01306645017480168,0.012001735570858263,,1,120.0
41,1,1,0,1,1.0,0.096,281.566,239.382,45.4789,45.5738,1.95863,91.0527,-0.03958748196528837,0.022778950772549954,0.9865541796995032,0.9876108539344887,0.013445820300496791,0.012389146065511336,,1,240.0
42,1,1,0,1,1.0,0.096,281.253,239.237,45.4482,45.5274,2.10098,90.9756,-0.039951317926354,0.022646042753321976,0.9873902646195788,0.9884576297049661,0.012609735380421205,0.01154237029503391,,1,150.0
43,1,1,0,1,1.0,0.096,281.423,239.113,45.4867,45.5686,1.93937,91.0554,-0.03973707346451512,0.022496141953700415,0.9865249261210752,0.9875811568010592,0.01347507387892477,0.012418843198940821,,1,250.0
44,1,1,0,1,1.0,0.096,281.379,239.167,45.3692,45.5995,1.65988,90.9687,-0.03982137943205529,0.022574272883319327,0.9874651584327901,0.9885255581798468,0.012534841567209853,0.011474441820153225,,1,190.0
45,1,1,0,1,1.0,0.096,281.369,239.22,45.4535,45.5782,1.80226,91.0317,-0.039804366161906315,0.022614252070852728,0.9867817667683341,0.9878431288361073,0.013218233231665932,0.012156871163892746,,1,110.0
46,1,1,0,1,1.0,0.096,281.589,239.383,45.4958,45.5712,1.82828,91.067,-0.03955701976721327,0.022776422546039336,0.9863992638159264,0.9874548247355223,0.013600736184073647,0.012545175264477737,,1,250.0
47,1,1,0,1,1.0,0.096,281.333,239.06,45.4822,45.5543,1.8639,91.0365,-0.0398402302278845,0.022445213199689566,0.9867297376099142,0.9877887459492138,0.013270262390085774,0.012211254050786158,,1,170.0
