frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,2.0,,,,,,,,6.278393999309628,0.0,6.296226999438659
2,0,0,,2.0,,,,,,,,1.2781120003637625,0.0,1.2924970005769865
3,0,0,,2.0,,,,,,,,6.345925999994506,0.0,6.358483999974851
4,0,0,,2.0,,,,,,,,2.1382400000220514,0.0,2.148949000002176
5,0,0,,2.0,,,,,,,,2.428783999675943,0.0,2.438405000248167
6,0,0,,2.0,,,,,,,,1.4537389997713035,0.0,1.4671930002805311
7,0,0,,2.0,,,,,,,,0.7451470000887639,0.0,0.757163999878685
8,0,0,,2.0,,,,,,,,0.8903719999580062,0.0,0.9009740006149514
9,0,0,,2.0,,,,,,,,4.689592999966408,0.0,4.705697999270342
10,0,0,,2.0,,,,,,,,3.07683899973199,0.0,3.088795000621758
11,0,0,,2.0,,,,,,,,1.0447300001033,0.0,1.0579429999779677
12,1,1,0,2.0,-0.02278616591186424,-0.00025971213302078866,2.0094626495228334,2.0095918532464947,0.009462649522833377,0.009591853246494697,0.04544404521584511,13.576326000475092,13.827458999912778,28.789257000426005
13,1,1,0,2.0,-0.022809929244023277,-0.00031022039192347685,2.008467450669882,2.008596995295269,0.00846745066988186,0.008596995295269139,0.05762998014688492,5.949823999799264,27.54734600057418,35.274454000500555
14,1,1,0,2.0,-0.022788744730710683,-0.0002975954762011138,2.010798480087207,2.0109276324548557,0.010798480087207185,0.010927632454855729,0.023885147646069527,49.46927700075321,15.01305500005401,65.95748700055992
15,1,1,0,2.0,-0.022837402107960265,-0.0005145622370764595,2.0100930722182353,2.0102228659253383,0.0100930722182353,0.010222865925338276,0.04368314892053604,37.622587000441854,25.41909499996109,64.33363700034533
16,1,1,0,2.0,-0.022794974672141116,-0.0002638422928758141,2.009313101900001,2.009442415684028,0.009313101900001008,0.009442415684028038,0.04879074543714523,13.763957000264782,19.357471000148507,64.53092199990351
17,1,1,0,2.0,-0.022832151979387264,-0.00030637879380973333,2.0096509429986327,2.009780663089201,0.009650942998632672,0.009780663089201003,0.04130926355719566,5.184792999898491,11.722438000106195,25.81557099983911
18,1,1,0,2.0,-0.0227690315559281,-0.0003001310794690538,2.0095814397776746,2.009710447297215,0.00958143977767456,0.00971044729721493,0.048189885914325714,2.083145999677072,18.921216999842727,57.10089500007598
19,1,1,0,2.0,-0.022852749256413663,-0.0005148982674450798,2.007719716698559,2.0078498385309955,0.007719716698558976,0.007849838530995523,0.03268001601099968,6.422884999665257,12.409959999786224,20.392010000250593
20,1,1,0,2.0,-0.022783893631006098,-0.0002873804996175084,2.009564573162523,2.0096937483373964,0.009564573162522905,0.009693748337396446,0.040495432913303375,2.4290579995067674,16.487313000652648,20.306971000536578
21,1,1,0,2.0,-0.022792631615994183,-0.00043789076873444944,2.008680977573671,2.008810335863151,0.008680977573670923,0.008810335863151053,0.0310815516859293,3.5201139999117004,12.224586999764142,16.997640999761643
22,1,1,0,2.0,-0.022773707783305425,-0.0002456028449709523,2.0093357409570975,2.009464809837327,0.00933574095709755,0.009464809837326893,0.04547278583049774,9.67710300028557,25.319600999864633,37.082159999954456
23,1,1,0,2.0,-0.02284502691611141,-0.0002524404647223586,2.009911754723128,2.010041596772363,0.009911754723128219,0.010041596772362826,0.034173350781202316,2.040444000158459,12.556557000607427,15.834653000638355
24,1,1,0,2.0,-0.022834637135522865,-0.0005047923616464267,2.0090653498944455,2.0091951760879105,0.009065349894445518,0.00919517608791054,0.04709549993276596,5.255485999441589,15.050758999677782,21.566737999819452
25,1,1,0,2.0,-0.0228030018739536,-0.00029854707698068585,2.010697751120403,2.010827071725828,0.010697751120403165,0.010827071725827864,0.054324328899383545,5.916207000154827,29.779962999782583,37.60338400024921
26,1,1,0,2.0,-0.02291054591561057,-0.0004831628950683421,2.0115104567303113,2.0116409829032413,0.011510456730311258,0.011640982903241337,0.021658044308423996,6.227732999832369,13.318705000529008,20.848942999691644
27,1,1,0,2.0,-0.022886096890279158,-0.0004793785908466651,2.0115622055353364,2.011692449151433,0.011562205535336378,0.011692449151432971,0.037517890334129333,5.216112000198336,17.08056699953886,23.520759000348335
28,1,1,0,2.0,-0.022785275924556946,-0.0005044680464237931,2.0093886161314685,2.0095178610616293,0.009388616131468464,0.009517861061629329,0.04397635534405708,4.1063749995373655,14.461914999628789,19.79119299994636
29,1,1,0,2.0,-0.022873371373564152,-0.0004663541739176334,2.0106899494117707,2.0108201016674063,0.010689949411770705,0.010820101667406323,0.04009672999382019,4.399085999466479,17.1740840005441,22.95857400076784
30,1,1,0,2.0,-0.022814842111604533,-0.00026137602192254046,2.0112623260754505,2.011391739475042,0.011262326075450524,0.011391739475041796,0.03790418058633804,11.444036999819218,31.582272999912675,45.0131550005608
31,1,1,0,2.0,-0.022814816284226266,-0.000544934268585024,2.008439471601659,2.0085691235013523,0.008439471601659143,0.008569123501352305,0.05363636091351509,5.365579999306647,30.831553999632888,37.832644000445725
32,1,1,0,2.0,-0.022768496906416646,-0.000516208983293753,2.0076397657858607,2.007768935930576,0.007639765785860675,0.0077689359305761485,0.041358545422554016,4.911122000521573,14.972910999858868,21.154846999706933
33,1,1,0,2.0,-0.022883052532239167,-0.00048590561715270396,2.0111856773444616,2.0113159122706117,0.01118567734446163,0.011315912270611683,0.0448320098221302,6.9178490002741455,25.43579699977272,34.25614499974472
34,1,1,0,2.0,-0.022825798533539863,-0.0005200659138412533,2.009011675311597,2.0091414084343486,0.009011675311596967,0.00914140843434863,0.04086193069815636,6.2388839996856404,13.786875000732834,21.472472999448655
35,1,1,0,2.0,-0.022825208825593933,-0.0003004493113455685,2.011868101617144,2.011997599087109,0.0118681016171438,0.011997599087108846,0.02904786542057991,20.437556000615587,24.874587000340398,50.37579999952868
36,1,1,0,2.0,-0.022811539233753328,-0.0002863029635528404,2.010099274588451,2.0102287287750658,0.010099274588450946,0.010228728775065754,0.05059979110956192,3.609493000112707,18.294423000043025,23.338703000263195
37,1,1,0,2.0,-0.022877129406390063,-0.00046161731410584804,2.0124513548382983,2.0125814348072786,0.01245135483829829,0.01258143480727858,0.03439792990684509,2.8024299999742652,12.037957999382343,16.122314000313054
