frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,2.5,,,,,,,,17.734,0.0,17.734
2,0,0,,2.5,,,,,,,,12.8545,0.0,12.8545
3,0,0,,2.5,,,,,,,,12.4967,0.0,12.4967
4,0,0,,2.5,,,,,,,,11.3092,0.0,11.3092
5,0,0,,2.5,,,,,,,,10.1314,0.0,10.1314
6,0,0,,2.5,,,,,,,,9.68217,0.0,9.68217
7,0,0,,2.5,,,,,,,,9.58214,0.0,9.58214
8,0,0,,2.5,,,,,,,,10.4597,0.0,10.4597
9,0,0,,2.5,,,,,,,,10.5521,0.0,10.5521
10,0,0,,2.5,,,,,,,,11.538,0.0,11.538
11,0,0,,2.5,,,,,,,,11.261,0.0,11.261
12,0,0,,2.5,,,,,,,,11.1407,0.0,11.1407
13,0,0,,2.5,,,,,,,,10.7003,0.0,10.7003
14,0,0,,2.5,,,,,,,,11.3089,0.0,11.3089
15,0,0,,2.5,,,,,,,,11.3525,0.0,11.3525
16,0,0,,2.5,,,,,,,,11.8374,0.0,11.8374
17,0,0,,2.5,,,,,,,,13.5314,0.0,13.5314
18,0,0,,2.5,,,,,,,,13.2712,0.0,13.2712
19,0,0,,2.5,,,,,,,,13.2702,0.0,13.2702
20,0,0,,2.5,,,,,,,,13.3199,0.0,13.3199
21,0,0,,2.5,,,,,,,,13.152,0.0,13.152
22,0,0,,2.5,,,,,,,,12.889,0.0,12.889
23,0,0,,2.5,,,,,,,,13.2397,0.0,13.2397
24,0,0,,2.5,,,,,,,,13.0232,0.0,13.0232
25,0,0,,2.5,,,,,,,,13.6269,0.0,13.6269
26,0,0,,2.5,,,,,,,,13.4014,0.0,13.4014
27,0,0,,2.5,,,,,,,,13.241,0.0,13.241
28,0,0,,2.5,,,,,,,,13.5794,0.0,13.5794
29,0,0,,2.5,,,,,,,,13.3821,0.0,13.3821
30,0,0,,2.5,,,,,,,,13.3049,0.0,13.3049
31,0,0,,2.5,,,,,,,,13.3701,0.0,13.3701
32,0,0,,2.5,,,,,,,,13.396,0.0,13.396
33,0,0,,2.5,,,,,,,,13.2439,0.0,13.2439
34,0,0,,2.5,,,,,,,,13.2094,0.0,13.2094
35,0,0,,2.5,,,,,,,,13.3347,0.0,13.3347
36,0,0,,2.5,,,,,,,,13.5174,0.0,13.5174
37,0,0,,2.5,,,,,,,,13.6041,0.0,13.6041
38,0,0,,2.5,,,,,,,,13.501,0.0,13.501
39,0,0,,2.5,,,,,,,,13.783,0.0,13.783
40,0,0,,2.5,,,,,,,,13.3833,0.0,13.3833
41,0,0,,2.5,,,,,,,,13.3218,0.0,13.3218
42,0,0,,2.5,,,,,,,,13.2746,0.0,13.2746
43,0,0,,2.5,,,,,,,,13.5737,0.0,13.5737
44,0,0,,2.5,,,,,,,,13.2902,0.0,13.2902
45,0,0,,2.5,,,,,,,,13.1378,0.0,13.1378
46,0,0,,2.5,,,,,,,,12.7453,0.0,12.7453
47,0,0,,2.5,,,,,,,,11.6358,0.0,11.6358
48,0,0,,2.5,,,,,,,,11.5919,0.0,11.5919
49,0,0,,2.5,,,,,,,,11.3713,0.0,11.3713
50,0,0,,2.5,,,,,,,,11.1423,0.0,11.1423
51,0,0,,2.5,,,,,,,,11.0801,0.0,11.0801
52,0,0,,2.5,,,,,,,,11.3749,0.0,11.3749
53,0,0,,2.5,,,,,,,,10.947,0.0,10.947
54,0,0,,2.5,,,,,,,,11.0332,0.0,11.0332
55,0,0,,2.5,,,,,,,,10.4077,0.0,10.4077
56,0,0,,2.5,,,,,,,,10.435,0.0,10.435
57,0,0,,2.5,,,,,,,,10.6225,0.0,10.6225
58,0,0,,2.5,,,,,,,,10.5015,0.0,10.5015
59,0,0,,2.5,,,,,,,,11.0373,0.0,11.0373
60,0,0,,2.5,,,,,,,,11.2677,0.0,11.2677
61,0,0,,2.5,,,,,,,,10.9898,0.0,10.9898
62,0,0,,2.5,,,,,,,,10.9788,0.0,10.9788
63,0,0,,2.5,,,,,,,,11.0264,0.0,11.0264
64,0,0,,2.5,,,,,,,,11.3977,0.0,11.3977
65,0,0,,2.5,,,,,,,,12.505,0.0,12.505
66,0,0,,2.5,,,,,,,,12.5083,0.0,12.5083
67,0,0,,2.5,,,,,,,,13.0001,0.0,13.0001
68,0,0,,2.5,,,,,,,,13.1424,0.0,13.1424
69,0,0,,2.5,,,,,,,,13.0465,0.0,13.0465
70,0,0,,2.5,,,,,,,,13.4156,0.0,13.4156
71,0,0,,2.5,,,,,,,,14.6842,0.0,14.6842
72,0,0,,2.5,,,,,,,,14.8895,0.0,14.8895
73,0,0,,2.5,,,,,,,,15.2043,0.0,15.2043
74,0,0,,2.5,,,,,,,,15.5646,0.0,15.5646
75,0,0,,2.5,,,,,,,,15.6511,0.0,15.6511
76,0,0,,2.5,,,,,,,,15.5925,0.0,15.5925
77,0,0,,2.5,,,,,,,,15.6116,0.0,15.6116
78,0,0,,2.5,,,,,,,,16.0402,0.0,16.0402
79,0,0,,2.5,,,,,,,,16.0022,0.0,16.0022
80,0,0,,2.5,,,,,,,,16.1952,0.0,16.1952
81,0,0,,2.5,,,,,,,,17.4047,0.0,17.4047
82,0,0,,2.5,,,,,,,,17.1865,0.0,17.1865
83,0,0,,2.5,,,,,,,,17.0941,0.0,17.0941
84,0,0,,2.5,,,,,,,,17.1602,0.0,17.1602
85,0,0,,2.5,,,,,,,,17.1551,0.0,17.1551
86,0,0,,2.5,,,,,,,,17.6946,0.0,17.6946
87,0,0,,2.5,,,,,,,,17.7325,0.0,17.7325
88,0,0,,2.5,,,,,,,,17.4236,0.0,17.4236
89,0,0,,2.5,,,,,,,,17.3949,0.0,17.3949
90,0,0,,2.5,,,,,,,,17.2505,0.0,17.2505
91,0,0,,2.5,,,,,,,,17.7124,0.0,17.7124
92,0,0,,2.5,,,,,,,,17.6729,0.0,17.6729
93,0,0,,2.5,,,,,,,,17.6156,0.0,17.6156
94,0,0,,2.5,,,,,,,,17.462,0.0,17.462
95,0,0,,2.5,,,,,,,,16.6299,0.0,16.6299
96,0,0,,2.5,,,,,,,,16.4987,0.0,16.4987
97,0,0,,2.5,,,,,,,,16.0095,0.0,16.0095
98,0,0,,2.5,,,,,,,,15.6303,0.0,15.6303
99,0,0,,2.5,,,,,,,,15.3921,0.0,15.3921
100,0,0,,2.5,,,,,,,,15.3949,0.0,15.3949
101,0,0,,2.5,,,,,,,,14.0682,0.0,14.0682
102,0,0,,2.5,,,,,,,,13.909,0.0,13.909
103,0,0,,2.5,,,,,,,,13.6748,0.0,13.6748
104,0,0,,2.5,,,,,,,,13.5601,0.0,13.5601
105,0,0,,2.5,,,,,,,,13.4831,0.0,13.4831
106,0,0,,2.5,,,,,,,,13.6714,0.0,13.6714
107,0,0,,2.5,,,,,,,,14.3482,0.0,14.3482
108,0,0,,2.5,,,,,,,,14.0411,0.0,14.0411
109,0,0,,2.5,,,,,,,,14.0525,0.0,14.0525
110,0,0,,2.5,,,,,,,,13.9226,0.0,13.9226
111,0,0,,2.5,,,,,,,,12.7881,0.0,12.7881
112,0,0,,2.5,,,,,,,,12.8892,0.0,12.8892
113,0,0,,2.5,,,,,,,,12.887,0.0,12.887
114,0,0,,2.5,,,,,,,,12.6312,0.0,12.6312
115,0,0,,2.5,,,,,,,,12.9273,0.0,12.9273
116,0,0,,2.5,,,,,,,,12.3353,0.0,12.3353
117,0,0,,2.5,,,,,,,,12.5677,0.0,12.5677
118,0,0,,2.5,,,,,,,,13.2595,0.0,13.2595
119,0,0,,2.5,,,,,,,,12.6677,0.0,12.6677
120,0,0,,2.5,,,,,,,,12.7948,0.0,12.7948
121,0,0,,2.5,,,,,,,,12.3673,0.0,12.3673
122,0,0,,2.5,,,,,,,,12.6247,0.0,12.6247
123,0,0,,2.5,,,,,,,,12.6622,0.0,12.6622
124,0,0,,2.5,,,,,,,,12.5297,0.0,12.5297
125,0,0,,2.5,,,,,,,,12.5704,0.0,12.5704
126,0,0,,2.5,,,,,,,,12.823,0.0,12.823
127,0,0,,2.5,,,,,,,,12.7554,0.0,12.7554
128,0,0,,2.5,,,,,,,,12.8585,0.0,12.8585
129,0,0,,2.5,,,,,,,,12.7645,0.0,12.7645
130,0,0,,2.5,,,,,,,,12.555,0.0,12.555
131,0,0,,2.5,,,,,,,,12.9487,0.0,12.9487
132,0,0,,2.5,,,,,,,,12.9356,0.0,12.9356
133,0,0,,2.5,,,,,,,,13.0666,0.0,13.0666
134,0,0,,2.5,,,,,,,,12.8708,0.0,12.8708
135,0,0,,2.5,,,,,,,,13.5161,0.0,13.5161
136,0,0,,2.5,,,,,,,,13.567,0.0,13.567
137,0,0,,2.5,,,,,,,,12.8883,0.0,12.8883
138,0,0,,2.5,,,,,,,,13.0448,0.0,13.0448
139,0,0,,2.5,,,,,,,,13.4231,0.0,13.4231
140,0,0,,2.5,,,,,,,,13.5544,0.0,13.5544
141,0,0,,2.5,,,,,,,,13.7468,0.0,13.7468
142,0,0,,2.5,,,,,,,,13.927,0.0,13.927
143,0,0,,2.5,,,,,,,,13.916,0.0,13.916
144,0,0,,2.5,,,,,,,,14.2359,0.0,14.2359
145,0,0,,2.5,,,,,,,,14.4538,0.0,14.4538
146,0,0,,2.5,,,,,,,,14.8088,0.0,14.8088
147,0,0,,2.5,,,,,,,,14.2737,0.0,14.2737
148,0,0,,2.5,,,,,,,,13.4404,0.0,13.4404
149,0,0,,2.5,,,,,,,,13.5495,0.0,13.5495
150,0,0,,2.5,,,,,,,,13.2396,0.0,13.2396
151,0,0,,2.5,,,,,,,,13.5982,0.0,13.5982
152,0,0,,2.5,,,,,,,,13.2917,0.0,13.2917
153,0,0,,2.5,,,,,,,,13.196,0.0,13.196
154,0,0,,2.5,,,,,,,,13.2323,0.0,13.2323
155,0,0,,2.5,,,,,,,,12.916,0.0,12.916
156,0,0,,2.5,,,,,,,,12.7047,0.0,12.7047
157,0,0,,2.5,,,,,,,,12.5809,0.0,12.5809
158,0,0,,2.5,,,,,,,,12.9205,0.0,12.9205
159,0,0,,2.5,,,,,,,,13.2081,0.0,13.2081
160,0,0,,2.5,,,,,,,,12.936,0.0,12.936
161,0,0,,2.5,,,,,,,,12.6258,0.0,12.6258
162,0,0,,2.5,,,,,,,,12.4806,0.0,12.4806
163,0,0,,2.5,,,,,,,,12.4889,0.0,12.4889
164,0,0,,2.5,,,,,,,,12.2707,0.0,12.2707
165,0,0,,2.5,,,,,,,,11.7773,0.0,11.7773
166,0,0,,2.5,,,,,,,,11.5785,0.0,11.5785
167,0,0,,2.5,,,,,,,,11.6501,0.0,11.6501
168,0,0,,2.5,,,,,,,,11.3388,0.0,11.3388
169,0,0,,2.5,,,,,,,,11.6268,0.0,11.6268
170,0,0,,2.5,,,,,,,,11.3767,0.0,11.3767
171,0,0,,2.5,,,,,,,,11.0076,0.0,11.0076
172,0,0,,2.5,,,,,,,,10.691,0.0,10.691
173,0,0,,2.5,,,,,,,,11.1161,0.0,11.1161
174,0,0,,2.5,,,,,,,,10.902,0.0,10.902
175,0,0,,2.5,,,,,,,,10.2581,0.0,10.2581
176,0,0,,2.5,,,,,,,,9.92637,0.0,9.92637
177,0,0,,2.5,,,,,,,,9.94303,0.0,9.94303
178,0,0,,2.5,,,,,,,,9.94353,0.0,9.94353
179,0,0,,2.5,,,,,,,,9.98343,0.0,9.98343
180,0,0,,2.5,,,,,,,,10.2321,0.0,10.2321
181,0,0,,2.5,,,,,,,,10.1158,0.0,10.1158
182,0,0,,2.5,,,,,,,,10.1561,0.0,10.1561
183,0,0,,2.5,,,,,,,,10.3885,0.0,10.3885
184,0,0,,2.5,,,,,,,,10.3081,0.0,10.3081
185,0,0,,2.5,,,,,,,,10.8005,0.0,10.8005
186,0,0,,2.5,,,,,,,,10.6658,0.0,10.6658
187,0,0,,2.5,,,,,,,,10.7291,0.0,10.7291
188,0,0,,2.5,,,,,,,,10.3853,0.0,10.3853
189,0,0,,2.5,,,,,,,,10.3349,0.0,10.3349
190,0,0,,2.5,,,,,,,,10.47,0.0,10.47
191,0,0,,2.5,,,,,,,,10.5855,0.0,10.5855
192,0,0,,2.5,,,,,,,,10.6957,0.0,10.6957
193,0,0,,2.5,,,,,,,,10.2392,0.0,10.2392
194,0,0,,2.5,,,,,,,,10.2665,0.0,10.2665
195,0,0,,2.5,,,,,,,,10.1491,0.0,10.1491
196,0,0,,2.5,,,,,,,,10.3354,0.0,10.3354
197,0,0,,2.5,,,,,,,,10.2868,0.0,10.2868
198,0,0,,2.5,,,,,,,,10.2448,0.0,10.2448
199,0,0,,2.5,,,,,,,,9.64013,0.0,9.64013
200,0,0,,2.5,,,,,,,,9.67143,0.0,9.67143
201,0,0,,2.5,,,,,,,,9.75713,0.0,9.75713
202,0,0,,2.5,,,,,,,,9.96227,0.0,9.96227
203,0,0,,2.5,,,,,,,,9.69777,0.0,9.69777
204,0,0,,2.5,,,,,,,,9.69547,0.0,9.69547
205,0,0,,2.5,,,,,,,,9.85093,0.0,9.85093
206,0,0,,2.5,,,,,,,,9.9782,0.0,9.9782
207,0,0,,2.5,,,,,,,,10.1333,0.0,10.1333
208,0,0,,2.5,,,,,,,,10.4995,0.0,10.4995
209,0,0,,2.5,,,,,,,,10.5586,0.0,10.5586
210,0,0,,2.5,,,,,,,,10.4876,0.0,10.4876
211,0,0,,2.5,,,,,,,,10.0194,0.0,10.0194
212,0,0,,2.5,,,,,,,,9.9899,0.0,9.9899
213,0,0,,2.5,,,,,,,,10.3929,0.0,10.3929
214,0,0,,2.5,,,,,,,,10.4151,0.0,10.4151
215,0,0,,2.5,,,,,,,,9.8391,0.0,9.8391
216,0,0,,2.5,,,,,,,,10.0426,0.0,10.0426
217,0,0,,2.5,,,,,,,,10.2482,0.0,10.2482
218,0,0,,2.5,,,,,,,,10.2348,0.0,10.2348
219,0,0,,2.5,,,,,,,,10.1684,0.0,10.1684
220,0,0,,2.5,,,,,,,,10.3292,0.0,10.3292
221,0,0,,2.5,,,,,,,,10.5774,0.0,10.5774
222,0,0,,2.5,,,,,,,,10.5179,0.0,10.5179
